what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.epp.usagedata.recording,1.3.1.R201102081640,"org.eclipse.epp.usagedata.recording",1338030548455
started,bundle,org.eclipse.pde.ui,3.6.1.v20110210_r362,"org.eclipse.pde.ui",1338030548455
started,bundle,org.eclipse.ui.views.log,1.0.100.v20110210_r362,"org.eclipse.ui.views.log",1338030548455
started,bundle,org.eclipse.wb.core,1.3.0.r36x201202052311,"org.eclipse.wb.core",1338030548455
started,bundle,org.eclipse.wb.core.lib,1.3.0.r36x201202052311,"org.eclipse.wb.core.lib",1338030548455
started,bundle,org.eclipse.wb.discovery.core,1.3.0.r36x201202052340,"org.eclipse.wb.discovery.core",1338030548455
started,bundle,org.eclipse.wb.discovery.ui,1.3.0.r36x201202052340,"org.eclipse.wb.discovery.ui",1338030548455
os,sysinfo,,,"macosx",1338030548458
arch,sysinfo,,,"x86_64",1338030548458
ws,sysinfo,,,"cocoa",1338030548458
locale,sysinfo,,,"en_US",1338030548458
processors,sysinfo,,,"4",1338030548458
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1338030548458
java.runtime.version,sysinfo,,,"1.6.0_29-b11-402-11M3527",1338030548458
java.specification.name,sysinfo,,,"Java Platform API Specification",1338030548458
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1338030548458
java.specification.version,sysinfo,,,"1.6",1338030548458
java.vendor,sysinfo,,,"Apple Inc.",1338030548458
java.version,sysinfo,,,"1.6.0_29",1338030548458
java.vm.info,sysinfo,,,"mixed mode",1338030548458
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1338030548458
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1338030548458
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1338030548458
java.vm.specification.version,sysinfo,,,"1.0",1338030548458
java.vm.vendor,sysinfo,,,"Apple Inc.",1338030548458
java.vm.version,sysinfo,,,"20.4-b02-402",1338030548458
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1338030551989
started,bundle,com.instantiations.common.ui,6.0.0.r36x201010211311,"com.instantiations.common.ui",1338030553397
