what,kind,bundleId,bundleVersion,description,time
activated,editor,com.instantiations.designer.core,8.1.0.r36x201010220706,"com.instantiations.designer.core.guiEditor",1338312957927
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1338312970856
activated,editor,com.instantiations.designer.core,8.1.0.r36x201010220706,"com.instantiations.designer.core.guiEditor",1338312979239
activated,editor,com.instantiations.designer.core,8.1.0.r36x201010220706,"com.instantiations.designer.core.guiEditor",1338312985809
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.cut",1338312989036
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1338312990539
activated,editor,com.instantiations.designer.core,8.1.0.r36x201010220706,"com.instantiations.designer.core.guiEditor",1338312993081
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1338312996183
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1338312996562
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1338312998807
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1338313009660
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1338313013196
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1338313037134
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1338313044950
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1338313048841
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1338313057696
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1338313059743
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1338313122019
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1338313381696
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1338313387827
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1338313526750
opened,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1338313526961
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1338313527034
