what,kind,bundleId,bundleVersion,description,time
started,bundle,com.instantiations.designer.swing.FormLayout,8.1.0.r36x201010220722,"com.instantiations.designer.swing.FormLayout",1343393411084
started,bundle,com.instantiations.designer.swing.hc,8.1.0.r36x201010220722,"com.instantiations.designer.swing.hc",1343393411090
started,bundle,org.eclipse.pde.core,3.6.2.v20110210_r362,"org.eclipse.pde.core",1343393411559
started,bundle,org.eclipse.pde,3.6.1.v201102101200,"org.eclipse.pde",1343393411596
started,bundle,org.eclipse.equinox.simpleconfigurator.manipulator,2.0.0.v20100503,"org.eclipse.equinox.simpleconfigurator.manipulator",1343393411605
started,bundle,org.eclipse.equinox.frameworkadmin,2.0.0.v20100503,"org.eclipse.equinox.frameworkadmin",1343393411609
started,bundle,com.instantiations.designer.core.apiImpl,8.1.0.r36x201010220706,"com.instantiations.designer.core.apiImpl",1343393413519
started,bundle,com.instantiations.designer.gwt.ExtGWT,8.1.0.r36x201010220728,"com.instantiations.designer.gwt.ExtGWT",1343393413890
started,bundle,com.instantiations.designer.gwt.SmartGWT,8.1.0.r36x201010220728,"com.instantiations.designer.gwt.SmartGWT",1343393413893
started,bundle,com.instantiations.designer.rcp.GroupLayout,8.1.0.r36x201010220731,"com.instantiations.designer.rcp.GroupLayout",1343393413936
started,bundle,com.instantiations.designer.rcp.swing2swt,8.1.0.r36x201010220731,"com.instantiations.designer.rcp.swing2swt",1343393413937
started,bundle,com.instantiations.designer.swing.jsr296,8.1.0.r36x201010220722,"com.instantiations.designer.swing.jsr296",1343393416847
started,bundle,com.instantiations.designer.layout.group,8.1.0.r36x201010220713,"com.instantiations.designer.layout.group",1343393417176
started,bundle,com.instantiations.designer.swing.MigLayout.lib,8.1.0.r36x201010220722,"com.instantiations.designer.swing.MigLayout.lib",1343393417235
started,bundle,com.instantiations.designer.swing.MigLayout,8.1.0.r36x201010220722,"com.instantiations.designer.swing.MigLayout",1343393417253
started,bundle,com.instantiations.designer.swing.java6,8.1.0.r36x201010220722,"com.instantiations.designer.swing.java6",1343393417265
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1343393417936
started,bundle,com.instantiations.designer.swing.ams,8.1.0.r36x201010220722,"com.instantiations.designer.swing.ams",1343393422859
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1343393439729
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1343393448009
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1343393450215
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1343397500260
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1343397509950
opened,editor,com.instantiations.designer.core,8.1.0.r36x201010220706,"com.instantiations.designer.core.guiEditor",1343397514564
activated,editor,com.instantiations.designer.core,8.1.0.r36x201010220706,"com.instantiations.designer.core.guiEditor",1343397514826
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1343397530141
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1343397534059
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1343397543251
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1343397545052
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1343397545738
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1343397545871
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1343397546157
