what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1338301108896
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1338301130685
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1338301134707
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1338301178984
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1338301231033
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1338301233805
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1338301271985
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1338301284412
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1338301288837
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1338301362030
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1338301375789
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1338301420113
no handler,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1338301513090
no handler,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1338301516914
no handler,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineStart",1338301519091
no handler,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineStart",1338301519091
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1338301529809
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1338301583799
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1338301607467
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1338301607539
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1338301626714
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1338301630752
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1338301645292
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1338301650590
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1338301657580
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1338301660435
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1338301673203
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1338301682615
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1338301692131
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1338301721327
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1338301724646
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1338301726400
